,zeitpunkt,bruttolastgang,status
0,2022-01-01T00:00,61932.427392,E
1,2022-01-01T00:15,64872.947522,E
2,2022-01-01T00:30,64475.382873,E
3,2022-01-01T00:45,63667.898362,E
4,2022-01-01T01:00,62508.404578,E
5,2022-01-01T01:15,61204.377895,E
6,2022-01-01T01:30,60292.300979,E
7,2022-01-01T01:45,59146.338709,E
8,2022-01-01T02:00,58481.324694,E
9,2022-01-01T02:15,61008.269618,E
10,2022-01-01T02:30,60693.162314,E
11,2022-01-01T02:45,59591.820317,E
12,2022-01-01T03:00,58709.455491,E
13,2022-01-01T03:15,58022.603136,E
14,2022-01-01T03:30,57394.924172,E
15,2022-01-01T03:45,56877.765827,E
16,2022-01-01T04:00,56579.35776,E
17,2022-01-01T04:15,56700.335133,E
18,2022-01-01T04:30,56233.75837,E
19,2022-01-01T04:45,55567.138565,E
20,2022-01-01T05:00,55317.449751,E
21,2022-01-01T05:15,55754.683939,E
22,2022-01-01T05:30,55702.725036,E
23,2022-01-01T05:45,56392.749125,E
24,2022-01-01T06:00,56943.822449,E
25,2022-01-01T06:15,57378.516975,E
26,2022-01-01T06:30,57685.929673,E
27,2022-01-01T06:45,57974.141954,E
28,2022-01-01T07:00,58461.527857,E
29,2022-01-01T07:15,59281.171574,E
30,2022-01-01T07:30,59475.558626,E
31,2022-01-01T07:45,59819.706363,E
32,2022-01-01T08:00,60129.04127,E
33,2022-01-01T08:15,60718.187905,E
34,2022-01-01T08:30,60740.678398,E
35,2022-01-01T08:45,61374.130755,E
36,2022-01-01T09:00,61842.835924,E
37,2022-01-01T09:15,61981.538161,E
38,2022-01-01T09:30,62512.365926,E
39,2022-01-01T09:45,62998.128767,E
40,2022-01-01T10:00,63951.750865,E
41,2022-01-01T10:15,64774.793392,E
42,2022-01-01T10:30,65702.351876,E
43,2022-01-01T10:45,66110.471779,E
44,2022-01-01T11:00,66692.585153,E
45,2022-01-01T11:15,67305.24809,E
46,2022-01-01T11:30,67338.239476,E
47,2022-01-01T11:45,67369.347568,E
48,2022-01-01T12:00,67457.421713,E
49,2022-01-01T12:15,67675.224311,E
50,2022-01-01T12:30,67820.95955,E
51,2022-01-01T12:45,68099.913756,E
52,2022-01-01T13:00,68022.360585,E
53,2022-01-01T13:15,68242.983158,E
54,2022-01-01T13:30,68260.128419,E
55,2022-01-01T13:45,67835.338631,E
56,2022-01-01T14:00,67792.707673,E
57,2022-01-01T14:15,67382.283708,E
58,2022-01-01T14:30,67187.342114,E
59,2022-01-01T14:45,66936.215905,E
60,2022-01-01T15:00,66811.614885,E
61,2022-01-01T15:15,66552.706064,E
62,2022-01-01T15:30,66835.740658,E
63,2022-01-01T15:45,66949.177054,E
64,2022-01-01T16:00,67320.441841,E
65,2022-01-01T16:15,67943.472013,E
66,2022-01-01T16:30,69318.399269,E
67,2022-01-01T16:45,70276.121969,E
68,2022-01-01T17:00,72147.657971,E
69,2022-01-01T17:15,74428.386061,E
70,2022-01-01T17:30,75752.945436,E
71,2022-01-01T17:45,77194.013948,E
72,2022-01-01T18:00,78135.658531,E
73,2022-01-01T18:15,78288.906425,E
74,2022-01-01T18:30,78355.923678,E
75,2022-01-01T18:45,78088.674353,E
76,2022-01-01T19:00,77889.649611,E
77,2022-01-01T19:15,76921.694484,E
78,2022-01-01T19:30,76548.795141,E
79,2022-01-01T19:45,75796.135759,E
